Feature,Importance
property_value,0.057666666666666665
co-applicant_credit_type,0.040333333333333346
Gender_Male,0.02233333333333335
credit_type_EXP,0.017000000000000026
loan_limit,0.011333333333333351
Neg_ammortization,0.010666666666666668
income,0.0050000000000000044
term,0.004666666666666664
lump_sum_payment,0.0033333333333333327
submission_of_application,0.0033333333333333327
occupancy_type,0.0030000000000000248
interest_only,-0.000333333333333341
Credit_Worthiness,-0.0016666666666666607
loan_purpose,-0.005333333333333334
loan_type,-0.005999999999999994
age,-0.007666666666666644
loan_amount,-0.01233333333333334
business_or_commercial,-0.014333333333333332
Credit_Score,-0.023999999999999987
